s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.6111,0.0,0.6,0.7,0.0682,1.0,3.8333,0.1023,0.4972,0,0.5417,0.6111,0.0,0.6,0.7,0.0,1.0,1.0,0.1023,1.0,True,0.5417
0.0455,0.1818,0.35,0.95,49.0,1.2857,0.1429,12.5,0.0,2,0.2,0.0455,0.1818,0.35,0.95,49.0,1.2857,0.1429,12.5,0.0006,True,0.2
0.175,0.7105,0.5,0.95,6.7143,1.0,0.1064,1.5,-0.017,2,0.2,0.175,0.7105,0.5,0.95,6.7143,1.0,0.1064,1.5,-0.0265,True,0.2
0.1216,0.1351,0.6,0.65,1.1111,0.6667,1.45,0.3889,0.8759,2,0.0,0.1216,0.1351,0.6,0.65,1.1111,0.6667,1.45,0.3889,1.0,False,0.0
0.3731,0.0,0.35,0.95,2.16,1.0,0.1296,0.3,0.0022,1,0.0284,0.3433,0.0,0.35,0.95,2.3478,1.0,0.1296,0.3261,0.0056,False,0.0284
0.4211,0.7222,0.35,0.95,1.625,1.2,0.1795,0.2708,0.0729,1,-0.0368,0.1579,0.7222,0.35,0.95,4.3333,1.2,0.1795,0.7222,0.1089,False,0.1532
0.2895,0.7949,0.3,0.9,3.0,1.0,0.2121,0.7727,0.1763,1,-0.0342,0.0789,0.7949,0.3,0.9,11.0,1.0,0.2121,2.8333,0.2539,False,0.1558
0.2188,0.4286,0.55,0.95,3.8571,2.0,0.1111,0.5357,0.0109,1,-0.0062,0.125,0.4286,0.55,0.95,6.75,2.0,0.1111,0.9375,0.0335,False,0.1838
1.0,0.4872,0.65,0.65,0.1667,0.6667,1.2778,0.1019,0.0,0,0.1833,0.963,0.4872,0.65,0.65,0.0192,0.6667,11.5,0.1058,0.5685,False,0.1728
0.2281,0.1739,0.55,0.95,2.6154,2.3333,0.1471,0.6538,0.0,2,-1.0895,0.0,0.1739,0.55,0.95,1.0,2.3333,0.1471,1.0,-0.0215,True,-1.0895
0.2075,0.2632,0.5,0.95,5.9091,1.125,0.0769,0.9545,0.0,2,0.2,0.2075,0.2632,0.5,0.95,5.9091,1.125,0.0769,0.9545,-0.0084,True,0.2
0.9744,0.3696,0.75,0.55,0.0395,0.3333,4.5,0.0461,0.2808,0,0.4962,0.8205,0.3696,0.75,0.55,0.0,0.3333,1.0,0.0547,0.8773,True,0.4962
0.5968,0.5625,0.55,0.75,0.6216,1.0,0.2609,0.2297,0.0,1,-0.0177,0.3387,0.5625,0.55,0.75,1.0952,1.0,0.2609,0.4048,0.1249,False,0.1615
0.4118,0.65,0.35,0.95,1.0357,1.0,0.2414,0.1964,0.0952,1,0.0103,0.3088,0.65,0.35,0.95,1.381,1.0,0.2414,0.2619,0.2146,False,0.0192
0.9429,0.6818,0.8,0.65,0.4848,2.0,0.3281,0.0682,0.0,0,0.0043,0.7857,0.6818,0.8,0.65,0.3636,2.0,0.525,0.0818,0.4317,False,0.481
0.8689,0.9167,0.8,0.6,0.3962,1.2222,0.5952,0.1226,0.6819,0,-0.0492,0.7049,0.9167,0.8,0.6,0.4884,1.2222,0.5952,0.1512,0.7271,False,0.1668
0.7719,0.0,0.55,0.6,0.5909,1.0,0.4423,0.125,0.3555,0,0.0737,0.7544,0.0,0.55,0.6,0.2558,1.0,1.0455,0.1279,0.9113,False,0.0587
0.1667,0.3548,0.4,0.95,3.375,1.75,0.1852,0.8125,0.0313,2,-1.0875,0.0,0.3548,0.4,0.95,1.0,1.75,0.1852,1.0,0.0251,True,-1.0875
0.3,0.5,0.6,0.65,1.2778,1.2,0.3696,0.3056,-0.025,0,-0.01,0.2667,0.5,0.6,0.65,1.4375,1.2,0.3696,0.3438,-0.0241,False,0.0897
0.6038,0.5714,0.7,0.7,0.3438,1.1429,1.0455,0.1406,0.0,0,0.0113,0.5472,0.5714,0.7,0.7,0.2069,1.1429,1.9167,0.1552,0.2434,False,0.0113
0.1905,0.4,0.3,0.85,2.75,1.375,0.2121,0.5417,0.0491,2,0.2,0.1905,0.4,0.3,0.85,2.75,1.375,0.2121,0.5417,0.0815,True,0.2
0.2041,0.8108,0.35,0.95,4.7,1.3,0.1064,0.75,0.0,1,-1.0796,0.0,0.8108,0.35,0.95,1.0,1.3,0.1064,1.0,-0.0444,True,-1.0796
0.2414,0.0,0.35,0.95,4.1429,1.2,0.2069,1.5,0.0,2,0.2,0.2414,0.0,0.35,0.95,4.1429,1.2,0.2069,1.5,0.1202,True,0.2
