s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.5833,0.36,0.3,0.75,1.1071,1.0,0.2258,0.0893,-0.4262,2,-0.0187,0.5208,0.36,0.3,0.75,1.24,1.0,0.2258,0.1,-0.4701,False,-0.0781
0.9286,0.56,0.25,0.8,1.1154,1.4,0.1207,0.0673,0.0,1,-0.0071,0.75,0.56,0.25,0.8,1.381,1.4,0.1207,0.0833,-0.5072,False,0.0727
0.3333,0.4,0.25,0.7,1.4667,1.0,0.3636,0.3667,-0.675,0,-0.0933,0.0222,0.4,0.25,0.7,22.0,1.0,0.3636,5.5,-0.6677,False,0.0967
0.5,0.72,0.45,0.75,0.4615,1.0,0.875,0.25,0.6346,0,-0.0288,0.3077,0.72,0.45,0.75,0.4375,1.0,1.5,0.4062,0.6356,False,-0.0447
0.381,0.62,0.2,0.75,1.875,2.0,0.3,0.4688,-0.7693,1,0.019,0.381,0.62,0.2,0.75,1.875,2.0,0.3,0.4688,-0.7617,False,0.2071
0.6087,1.0,0.8,0.7,0.4286,1.0,0.6389,0.1071,0.0,0,-0.0043,0.5942,1.0,0.8,0.7,0.439,1.0,0.6389,0.1098,-0.1701,False,-0.0114
0.5686,0.68,0.7,0.6,0.2069,1.5,2.25,0.1207,0.7936,0,0.5118,0.451,0.68,0.7,0.6,0.0,1.5,1.0,0.1522,0.7889,True,0.5118
0.069,0.04,0.5,0.9,10.0,1.3333,0.2125,0.875,-0.3251,2,0.2,0.069,0.04,0.5,0.9,10.0,1.3333,0.2125,0.875,-0.4375,True,0.2
0.9508,0.74,0.65,0.5,0.069,1.0,2.375,0.0948,0.8547,0,0.5639,0.9508,0.74,0.65,0.5,0.0,1.0,1.0,0.0948,0.8676,True,0.5639
0.1395,0.76,0.55,0.8,6.1667,1.0,0.1892,1.75,0.0,2,-1.0767,0.0,0.76,0.55,0.8,1.0,1.0,0.1892,1.0,-0.7793,True,-1.0767
